market,type,anchor_name,lat,lon,appreciation
killington,ski,Snowshed Base,43.6045,-72.8201,0.040
killington,ski,Bear Mountain Base,43.5876,-72.7876,0.040
okemo,ski,Okemo Clocktower,43.4017,-72.7171,0.033
okemo,ski,Jackson Gore,43.4145,-72.7373,0.033
loon_lincoln,ski,Loon Base,44.0362,-71.6318,0.035
sunday_river,ski,South Ridge Base,44.4734,-70.8569,0.035
sunday_river,ski,Barker Base,44.4699,-70.8664,0.035
hampton_beach,beach,Hampton Beach Main,42.9097,-70.8117,0.037
old_orchard_beach,beach,OOB Pier,43.5164,-70.3770,0.038
